tarih,home,away,home_goal_half,away_goal_half,home_goal_full,away_goal_full,home_possessions,away_possessions,home_mucadele,away_mucadele,home_havatopu,away_havatopu,home_steal,away_steal,home_ofsayt,away_ofsayt,home_corner,away_corner,home_pass,away_pass,home_accurate_pass,away_accurate_pass,home_pass_accuraty,away_pass_accuraty,home_long_pass,away_long_pass,home_accurate_long_pass,away_accurate_long_pass,home_shot,away_shot,home_accurate_shot,away_accurate_shot,home_not_accurate_shot,away_not_accurate_shot,home_engellenen_shot,away_engellenen_shot,home_direk,away_direk,home_xG,away_xG,home_ceza_sahasi,away_ceza_sahasi,home_uzaklastir,away_uzaklastir,home_faul,away_faul,home_yellow,away_yellow,home_red,away_red,1.5_alt,1.5_ust,"2,5_alt",2.5_ust,3.5_alt,3.5_ust,4.5_alt,4.5_ust,KG
24.05.2024,Alanyaspor,Antalyaspor,1,0,1,1,%62,%38,43,34,5,9,7,7,5,1,3,2,665,415,601,354,"%90,4","%85,3",19,9,6,3,14,7,3,3,7,2,4,2,0,0,"2,21","0,34",25,12,10,18,12,14,0,1,0,1,0,1,1,0,1,0,1,0,1
25.05.2024,Fatih Karagümrük,Samsunspor,1,0,3,1,%39,%61,43,43,6,5,7,13,3,3,2,7,339,516,265,429,"%78,2","%83,1",9,21,2,6,14,12,7,5,7,2,0,5,0,0,"2,09","1,21",24,31,20,9,12,9,2,1,2,1,0,1,0,1,0,1,1,0,1
25.05.2024,Sivasspor,Kayserispor,1,1,2,1,%41,%59,39,39,4,10,10,3,1,5,10,4,305,456,248,400,"%81,3","%87,7",18,11,3,8,16,11,4,5,6,3,6,3,1,0,"1,02","1,65",23,16,9,14,13,13,1,3,1,3,0,1,0,1,1,0,1,0,1
26.05.2024,Fenerbahçe,İstanbulspor,3,0,6,0,%54,%46,50,39,13,8,10,9,2,2,4,5,468,401,397,324,"%84,8","%80,8",16,8,6,2,26,9,15,2,8,6,3,1,1,1,"5,04","0,31",45,4,13,13,12,8,2,1,2,1,0,1,0,1,0,1,0,1,0
26.05.2024,Konyaspor,Galatasaray,0,1,1,3,%34,%66,60,52,16,19,4,9,4,0,3,10,256,501,177,420,"%69,1","%83,8",14,25,3,13,8,23,1,7,7,8,0,8,0,1,"0,32","2,31",18,41,21,16,9,13,2,2,2,2,0,1,0,1,0,1,1,0,1
26.05.2024,Pendikspor,Gaziantep FK,0,1,0,1,%71,%29,52,55,13,10,8,10,2,3,2,3,564,231,489,146,"%86,7","%63,2",29,10,7,2,8,11,2,4,5,3,1,4,0,1,"0,72","1,54",22,19,7,36,9,15,5,4,5,4,1,0,1,0,1,0,1,0,0
26.05.2024,Adana Demirspor,Başakşehir,1,4,2,6,%49,%51,35,30,5,5,6,8,2,4,2,1,432,451,374,413,"%86,6","%91,6",10,9,0,1,13,12,6,7,3,5,4,0,0,0,"1,38","2,73",18,21,4,9,8,14,0,2,0,2,0,1,0,1,0,1,0,1,1
26.05.2024,Kasımpaşa,Beşiktaş,1,0,2,1,%45,%55,45,45,12,14,18,13,5,0,8,3,339,435,269,357,"%79,4","%82,1",21,11,7,1,19,6,8,4,9,2,2,0,0,0,"2,29","1,48",31,15,14,12,11,9,1,2,1,2,0,1,0,1,1,0,1,0,1
26.05.2024,Trabzonspor,MKE Ankaragücü,0,1,4,2,%59,%41,47,41,15,6,7,7,0,0,3,6,545,374,473,297,"%86,8","%79,4",15,13,4,3,12,14,5,8,4,4,3,2,0,1,"1,84","1,99",29,22,11,11,6,12,2,3,2,3,0,1,0,1,0,1,0,1,1
26.05.2024,Hatayspor,Ç. Rizespor,1,0,2,0,%39,%61,56,52,13,14,5,4,0,1,2,4,304,479,249,421,"%81,9","%87,9",10,20,4,6,13,10,6,3,6,5,1,2,0,0,"2,17","1,19",20,20,19,11,12,7,0,0,0,0,0,1,1,0,1,0,1,0,0
17.05.2024,İstanbulspor,Sivasspor,0,2,1,3,%51,%49,42,31,4,4,8,7,2,1,5,7,422,399,374,339,"%88,6","%85,0",19,22,9,5,16,17,7,10,8,6,1,1,0,1,"1,66","1,71",23,24,11,17,7,10,2,1,2,1,0,1,0,1,0,1,1,0,1
17.05.2024,Antalyaspor,Adana Demirspor,1,0,2,1,%52,%48,43,49,4,2,6,7,2,0,3,8,466,427,424,377,"%91,0","%88,3",17,17,2,1,11,16,4,6,6,5,1,5,0,0,"0,49","2,51",16,31,24,14,11,14,1,1,1,1,0,1,0,1,1,0,1,0,1
18.05.2024,Beşiktaş,Hatayspor,0,1,2,2,%69,%31,60,54,16,8,7,10,3,2,7,3,543,242,485,184,"%89,3","%76,0",31,6,4,4,20,8,7,3,6,3,7,2,0,0,"2,55","1,09",32,8,3,33,6,17,6,3,6,3,0,1,0,1,0,1,1,0,1
18.05.2024,MKE Ankaragücü,Pendikspor,0,0,0,0,%50,%50,50,64,11,28,16,10,1,1,4,4,349,353,254,248,"%72,8","%70,3",18,22,2,4,13,7,5,2,7,3,1,2,0,0,"0,77","0,57",19,22,16,25,7,13,2,3,2,3,1,0,1,0,1,0,1,0,0
18.05.2024,Ç. Rizespor,Kasımpaşa,0,0,0,0,%60,%40,53,72,17,28,9,12,1,2,5,4,439,284,355,196,"%80,9","%69,0",18,13,5,3,10,16,3,5,5,8,2,3,1,1,"1,2","2,02",14,17,16,17,20,13,3,4,3,4,1,0,1,0,1,0,1,0,0
18.05.2024,Samsunspor,Alanyaspor,0,1,1,1,%34,%66,40,35,14,5,11,11,1,1,5,1,312,640,243,575,"%77,9","%89,8",18,11,4,2,9,7,2,4,3,3,4,0,0,0,"1,12","0,35",11,9,8,15,9,8,1,0,1,0,0,1,1,0,1,0,1,0,1
18.05.2024,Gaziantep FK,Fatih Karagümrük,0,0,3,1,%45,%55,53,49,20,18,6,10,1,0,6,12,305,384,233,300,"%76,4","%78,1",29,30,10,4,12,6,4,2,7,3,1,1,2,0,"1,72","0,3",17,18,32,27,12,8,3,2,3,2,0,1,0,1,0,1,1,0,1
18.05.2024,Başakşehir,Trabzonspor,0,1,0,1,%55,%45,51,42,16,9,10,6,0,2,6,4,395,329,332,256,"%84,1","%77,8",17,10,4,1,12,11,3,2,6,3,3,6,1,0,"0,97","0,62",10,13,15,14,16,14,3,2,3,2,1,0,1,0,1,0,1,0,0
18.05.2024,Kayserispor,Konyaspor,1,1,2,2,%37,%63,43,48,15,19,9,13,2,1,1,9,287,462,199,390,"%69,3","%84,4",7,27,1,7,8,14,3,4,4,9,1,1,1,2,"1,51","1,67",10,29,32,13,6,14,3,2,3,2,0,1,0,1,0,1,1,0,1
19.05.2024,Galatasaray,Fenerbahçe,0,0,0,1,%69,%31,49,43,17,9,8,6,1,3,1,5,475,207,394,134,"%82,9","%64,7",12,15,4,2,11,11,0,1,5,8,6,2,0,0,"0,67","1,41",19,10,19,18,18,10,4,6,4,6,1,0,1,0,1,0,1,0,0
12.05.2024,Fenerbahçe,Kayserispor,2,0,3,0,%50,%50,52,46,12,9,9,11,3,3,7,3,410,420,301,322,"%73,4","%76,7",17,13,4,3,25,10,15,3,6,6,4,1,0,0,"2,12","0,58",44,12,11,24,12,11,1,4,1,4,0,1,0,1,1,0,1,0,0
12.05.2024,Trabzonspor,İstanbulspor,2,0,3,0,%51,%49,46,38,6,6,9,13,1,0,7,12,488,470,425,412,"%87,1","%87,7",17,19,2,2,13,15,5,3,3,7,5,5,0,0,"0,66","0,62",19,14,20,16,10,7,0,0,0,0,0,1,0,1,1,0,1,0,0
12.05.2024,Fatih Karagümrük,Galatasaray,1,1,2,3,%35,%65,39,41,16,12,8,6,2,0,5,10,293,545,215,460,"%73,4","%84,4",18,32,4,10,15,25,5,6,10,13,0,6,0,0,"1,08","1,29",21,39,37,15,11,9,0,0,0,0,0,1,0,1,0,1,0,1,1
12.05.2024,Konyaspor,Samsunspor,3,0,3,0,%38,%62,53,54,15,20,11,2,5,0,5,6,292,486,205,381,"%70,2","%78,4",12,16,3,4,10,5,6,0,1,2,3,3,0,0,"0,88","0,25",15,11,23,13,16,16,2,3,2,3,0,1,0,1,1,0,1,0,0
12.05.2024,Adana Demirspor,Gaziantep FK,1,3,1,6,%46,%54,30,35,1,10,5,7,3,5,0,2,314,379,233,308,"%74,2","%81,3",11,11,0,5,7,19,4,10,1,7,2,2,0,1,"0,56","3,44",5,29,5,19,9,17,4,3,4,3,0,1,0,1,0,1,0,1,1
12.05.2024,Sivasspor,Başakşehir,0,1,0,1,%38,%62,47,39,11,13,7,6,2,4,10,3,283,489,216,437,"%76,3","%89,4",21,17,7,6,13,11,2,6,4,4,7,1,1,0,"0,54","1,8",16,16,16,19,9,15,2,2,2,2,1,0,1,0,1,0,1,0,0
12.05.2024,Kasımpaşa,Antalyaspor,2,0,3,1,%49,%51,36,41,13,11,9,10,1,7,4,5,414,421,341,358,"%82,4","%85,0",13,20,5,7,16,10,9,1,4,8,3,1,0,0,"2,98","2,05",30,19,14,9,21,6,1,1,1,1,0,1,0,1,0,1,1,0,1
12.05.2024,Alanyaspor,Beşiktaş,0,0,1,1,%55,%45,42,50,11,11,7,11,4,0,4,1,482,391,426,316,"%88,4","%80,8",19,12,7,4,18,9,5,2,7,5,6,2,0,1,"1,76","0,45",30,21,13,10,15,11,1,3,1,3,0,1,1,0,1,0,1,0,1
12.05.2024,Hatayspor,MKE Ankaragücü,0,0,2,1,%40,%60,46,37,24,9,5,3,0,5,2,6,353,525,278,455,"%78,8","%86,7",13,17,4,4,16,14,5,5,7,7,4,2,1,0,"1,56","2,22",20,28,20,18,10,5,6,2,6,2,0,1,0,1,1,0,1,0,1
12.05.2024,Pendikspor,Ç. Rizespor,0,1,2,1,%52,%48,66,58,31,23,9,5,2,2,7,3,357,341,266,244,"%74,5","%71,6",27,18,5,3,14,14,6,4,5,6,3,4,0,0,"1,98","1,73",29,20,25,25,14,17,3,5,3,5,0,1,0,1,1,0,1,0,1
3.05.2024,MKE Ankaragücü,Alanyaspor,1,0,1,1,%36,%64,36,46,10,12,8,2,2,1,5,2,308,535,242,462,"%78,6","%86,4",13,19,1,1,12,15,5,6,2,6,5,3,0,0,"0,91","2,51",22,22,24,16,12,9,3,2,3,2,0,1,1,0,1,0,1,0,1
3.05.2024,Beşiktaş,Ç. Rizespor,1,1,3,2,%60,%40,48,60,13,21,5,10,1,1,7,3,504,336,427,258,"%84,7","%76,8",23,11,8,3,25,12,8,5,8,7,9,0,1,0,"2,07","1,02",40,11,8,22,16,11,2,3,2,3,0,1,0,1,0,1,0,1,1
4.05.2024,İstanbulspor,Adana Demirspor,0,1,0,1,%55,%45,43,47,7,9,7,8,1,1,7,5,531,437,463,352,"%87,2","%80,5",23,9,4,4,15,14,6,4,8,8,1,2,1,0,"0,95","1,57",21,13,11,20,9,15,3,2,3,2,1,0,1,0,1,0,1,0,0
4.05.2024,Kayserispor,Fatih Karagümrük,1,0,2,2,%50,%50,51,48,16,9,4,6,2,3,3,3,401,406,323,326,"%80,5","%80,3",17,18,7,7,12,13,5,5,6,8,1,0,0,0,"1,73","1,79",21,19,16,16,14,7,1,3,1,3,0,1,0,1,0,1,1,0,1
4.05.2024,Samsunspor,Trabzonspor,3,1,3,1,%35,%65,52,56,6,20,9,9,2,0,3,2,289,539,197,453,"%68,2","%84,0",14,13,2,1,8,6,4,3,4,2,0,1,0,1,"1,97","0,31",19,6,14,19,21,12,5,2,5,2,0,1,0,1,0,1,1,0,1
5.05.2024,Başakşehir,Kasımpaşa,2,0,4,1,%48,%52,47,44,13,16,7,17,3,2,5,4,365,401,279,312,"%76,4","%77,8",14,16,7,7,16,6,7,1,6,4,3,1,0,0,"2,62","0,49",24,11,19,9,15,8,2,0,2,0,0,1,0,1,0,1,0,1,1
5.05.2024,Gaziantep FK,Hatayspor,1,1,1,1,%50,%50,38,58,11,19,7,10,1,2,8,3,339,360,258,278,"%76,1","%77,2",28,9,5,2,14,17,6,5,5,6,3,6,0,0,"1,61","1,01",30,12,14,22,15,13,2,5,2,5,0,1,1,0,1,0,1,0,1
